chrom	feature	start0	end0	strand	locus_tag	gene_name	rna_type	gene_product	gene_len	SRR35996296_sense_avg_depth	SRR35996296_antisense_avg_depth	SRR35996296_sense_TPM	SRR35996296_antisense_TPM	SRR35996297_sense_avg_depth	SRR35996297_antisense_avg_depth	SRR35996297_sense_TPM	SRR35996297_antisense_TPM	SRR35996298_sense_avg_depth	SRR35996298_antisense_avg_depth	SRR35996298_sense_TPM	SRR35996298_antisense_TPM	sample_95_sense_TPM	sample_95_antisense_TPM	sample_enr_sense_TPM	sample_enr_antisense_TPM	avg_sense_TPM	avg_antisense_TPM	PacBio_sense_avg_depth	PacBio_antisense_avg_depth	PacBio_sense_TPM	PacBio_antisense_TPM	ONT_rep1_sense_avg_depth	ONT_rep1_antisense_avg_depth	ONT_rep1_sense_TPM	ONT_rep1_antisense_TPM	ONT_rep2_sense_avg_depth	ONT_rep2_antisense_avg_depth	ONT_rep2_sense_TPM	ONT_rep2_antisense_TPM	ONT_merged_sense_avg_depth	ONT_merged_antisense_avg_depth	ONT_merged_sense_TPM	ONT_merged_antisense_TPM
CP002027.1	gene	0	1353	+	MMSYN1_0001	dnaA_1	mRNA	chromosomal replication initiator protein DnaA	1353	15.4715	0.0000	51.2640	0.0000	17.8817	0.5322	58.9341	1.7538	112.8418	0.3969	200.7050	0.7059	55.0991	0.8769	200.7050	0.7059	127.9020	0.7914	10829.1183	5.1892	2661.9428	1.2756	17.8285	0.0000	94.0798	0.0000	50.0710	0.2831	361.7513	2.0452	67.8995	0.2831	207.0631	0.8633
CP002027.1	gene	1510	2638	+	MMSYN1_0002	dnaN	mRNA	DNA polymerase III_ beta subunit	1128	1.3351	0.0000	4.4238	0.0000	6.1844	0.0000	20.3823	0.0000	63.9681	0.6649	113.7762	1.1826	12.4031	0.0000	113.7762	1.1826	63.0896	0.5913	1641.0789	18.6197	403.3993	4.5770	33.9539	0.1525	179.1722	0.8046	75.4849	0.0000	545.3616	0.0000	109.4388	0.1525	333.7395	0.4650
CP002027.1	gene	2674	3217	+	MMSYN1_0003	rnmV	mRNA	ribonuclease M5	543	0.4494	0.0000	1.4889	0.0000	1.2578	0.0000	4.1455	0.0000	17.7201	0.0000	31.5176	0.0000	2.8172	0.0000	31.5176	0.0000	17.1674	0.0000	117.7808	6.9042	28.9521	1.6972	27.9705	0.4751	147.5984	2.5073	20.7532	0.3867	149.9374	2.7941	48.7238	0.8619	148.5857	2.6283
CP002027.1	gene	3206	4007	+	MMSYN1_0004	ksgA	mRNA	dimethyladenosine transferase	801	2.6017	0.0000	8.6207	0.0000	1.9064	1.3733	6.2829	4.5260	3.6804	1.2459	6.5461	2.2161	7.4518	2.2630	6.5461	2.2161	6.9990	2.2395	72.2235	4.2409	17.7535	1.0425	31.3296	0.0000	165.3239	0.0000	19.5094	0.4444	140.9507	3.2110	50.8390	0.4444	155.0361	1.3554
CP002027.1	gene	4063	5155	+	MMSYN1_0005		mRNA	hypothetical purine NTPase	1092	100.3645	0.0000	332.5516	0.0000	98.6850	0.0000	325.2428	0.0000	411.5046	0.4570	731.9185	0.8128	328.8972	0.0000	731.9185	0.8128	530.4079	0.4064	339.0275	0.0000	83.3375	0.0000	148.0568	0.1548	781.2846	0.8167	238.8443	0.7967	1725.5963	5.7560	386.9011	0.9515	1179.8754	2.9015
CP002027.1	gene	5514	7419	+	MMSYN1_0006	gyrB	mRNA	DNA gyrase_ B subunit	1905	161.6000	1.1176	535.4519	3.7031	160.9995	2.0310	530.6169	6.6936	212.1213	2.2425	377.2874	3.9886	533.0344	5.1983	377.2874	3.9886	455.1609	4.5935	2349.2315	33.5360	577.4727	8.2436	34.8073	0.7895	183.6758	4.1661	24.9459	0.0000	180.2287	0.0000	59.7533	0.7895	182.2208	2.4076
CP002027.1	gene	7434	9939	+	MMSYN1_0007	gyrA	mRNA	DNA gyrase_ A subunit	2505	251.4707	0.8862	833.2329	2.9365	257.5194	0.7413	848.7240	2.4432	479.4196	2.3832	852.7148	4.2389	840.9785	2.6898	852.7148	4.2389	846.8466	3.4644	2432.7349	10.4575	597.9989	2.5706	72.4643	1.0962	382.3886	5.7846	49.3281	0.3621	356.3847	2.6159	121.7924	1.4583	371.4124	4.4471
CP002027.1	gene	9990	10968	-	MMSYN1_0008		mRNA	ribose/Galactose ABC transporter_ permease component II	978	72.0358	4.4898	238.6863	14.8766	80.6421	4.2904	265.7777	14.1401	239.9734	8.4162	426.8263	14.9693	252.2320	14.5084	426.8263	14.9693	339.5292	14.7388	381.5491	32.4816	93.7899	7.9844	54.3497	0.3507	286.7993	1.8507	43.8650	0.6595	316.9149	4.7648	98.2147	1.0102	299.5110	3.0807
CP002027.1	gene	10967	13535	-	MMSYN1_0009		mRNA	ABC transporter_ permease protein	2568	8.9521	1.7862	29.6623	5.9185	11.7453	2.2874	38.7099	7.5387	68.3598	1.8614	121.5875	3.3107	34.1861	6.7286	121.5875	3.3107	77.8868	5.0197	2084.9696	28.8271	512.5136	7.0861	18.1121	0.3828	95.5765	2.0199	13.8894	0.2418	100.3478	1.7471	32.0016	0.6246	97.5904	1.9048
CP002027.1	gene	13524	15141	-	MMSYN1_0010		mRNA	ribose/Galactose ABC transporter_ ATP-binding component	1617	36.4960	2.4719	120.9272	8.1904	41.3976	0.9202	136.4370	3.0328	148.7805	3.5189	264.6269	6.2588	128.6821	5.6116	264.6269	6.2588	196.6545	5.9352	1436.1824	18.5417	353.0329	4.5578	13.6976	0.3698	72.2812	1.9515	7.2777	0.2653	52.5796	1.9168	20.9753	0.6351	63.9652	1.9369
CP002027.1	gene	15152	16799	-	MMSYN1_0011		mRNA	ribose/galactose ABC transporter_ substrate-binding component	1647	46.6157	1.3382	154.4582	4.4340	39.2684	1.8512	129.4194	6.1013	178.8707	1.8264	318.1465	3.2484	141.9388	5.2676	318.1465	3.2484	230.0427	4.2580	1144.8434	6.6982	281.4179	1.6465	18.9107	0.7292	99.7906	3.8480	19.6515	0.3953	141.9776	2.8557	38.5622	1.1245	117.5976	3.4291
CP002027.1	gene	16985	18515	-	MMSYN1_0012	metG	mRNA	methionine--tRNA ligase	1530	43.4680	0.0000	144.0285	0.0000	47.3647	0.3791	156.1031	1.2494	235.5248	1.8248	418.9139	3.2457	150.0658	0.6247	418.9139	3.2457	284.4898	1.9352	3002.9817	15.7353	738.1733	3.8679	130.4484	0.0000	688.3663	0.0000	111.5549	0.0033	805.9590	0.0236	242.0033	0.0033	738.0018	0.0100
CP002027.1	gene	18715	20302	+	MMSYN1_0013		mRNA	mycoides cluster lipoprotein_ LppA/P72 family	1587	5.1645	1.1903	17.1121	3.9440	6.4468	1.0838	21.2470	3.5720	14.9937	5.2495	26.6684	9.3370	19.1796	3.7580	26.6684	9.3370	22.9240	6.5475	426.5999	84.4127	104.8640	20.7498	11.1657	0.4316	58.9207	2.2777	21.2067	1.5180	153.2135	10.9669	32.3724	1.9496	98.7213	5.9454
CP002027.1	gene	20316	21831	+	MMSYN1_0014		mRNA	mycoides cluster lipoprotein_ LppA/P72 family	1515	8.4343	1.6502	27.9466	5.4677	13.2594	3.4904	43.6999	11.5036	27.8178	5.5901	49.4779	9.9428	35.8233	8.4857	49.4779	9.9428	42.6506	9.2142	668.2766	81.0851	164.2714	19.9318	16.9888	1.7828	89.6485	9.4079	16.0667	0.5861	116.0780	4.2347	33.0554	2.3690	100.8043	7.2243
CP002027.1	gene	21863	23393	+	MMSYN1_0015		mRNA	mycoides cluster lipoprotein_ LppA/P72 family	1530	25.2850	0.7033	83.7802	2.3302	20.7673	1.4908	68.4443	4.9135	70.4562	4.2797	125.3162	7.6121	76.1122	3.6219	125.3162	7.6121	100.7142	5.6170	2392.4294	51.4680	588.0913	12.6515	25.8327	1.9987	136.3171	10.5470	24.7627	1.1307	178.9052	8.1692	50.5954	3.1294	154.2934	9.5433
CP002027.1	gene	23410	25009	+	MMSYN1_0016		mRNA	mycoides cluster lipoprotein_ LppA/P72 family	1599	42.2051	2.0826	139.8442	6.9004	52.0050	1.9700	171.3964	6.4926	113.5691	4.0225	201.9986	7.1546	155.6203	6.6965	201.9986	7.1546	178.8094	6.9256	787.6473	49.1676	193.6143	12.0861	40.9143	0.6923	215.9018	3.6533	80.9987	0.3102	585.1977	2.2411	121.9131	1.0025	371.7804	3.0572
CP002027.1	gene	25110	25215	+	MMSYN1_0916		ncRNA	RNAI	105	19.9524	10.2667	66.1110	34.0180	26.5905	7.2571	87.6360	23.9179	21.7810	9.5524	38.7405	16.9902	76.8735	28.9679	38.7405	16.9902	57.8070	22.9791	189.7143	83.9429	46.6343	20.6343	63.5429	0.3238	335.3109	1.7087	31.3429	2.3524	226.4451	16.9954	94.8857	2.6762	289.3590	8.1612
CP002027.1	gene	25425	26286	-	MMSYN1_0914	bla	mRNA	beta-lactamase TEM (precursor)	861	219.8641	23.3647	728.5065	77.4175	203.4053	15.9292	670.3768	52.4988	185.1301	16.8014	329.2798	29.8836	699.4417	64.9581	329.2798	29.8836	514.3607	47.4209	879.3240	216.8571	216.1497	53.3064	39.9141	2.5726	210.6235	13.5754	36.7921	6.8827	265.8146	49.7259	76.7062	9.4553	233.9195	28.8344
CP002027.1	gene	26356	27529	-	MMSYN1_0917		mRNA	transposase_ Mutator family	1173	140.8627	23.5277	466.7402	77.9576	115.5584	24.5874	380.8537	81.0343	167.7553	27.6786	298.3763	49.2303	423.7969	79.4960	298.3763	49.2303	361.0866	64.3631	640.2430	697.7332	157.3803	171.5122	13.2626	2.4271	69.9856	12.8077	34.5490	7.3487	249.6089	53.0925	47.8116	9.7758	145.8040	29.8118
CP002027.1	gene	27638	28301	-	MMSYN1_0918	his3	mRNA	imidazoleglycerol-phosphate dehydratase	663	31.3635	530.6501	103.9211	1758.2771	24.5173	436.2821	80.8035	1437.8844	20.9050	864.8703	37.1824	1538.2929	92.3623	1598.0808	37.1824	1538.2929	64.7724	1568.1868	144.1538	32312.0875	35.4350	7942.7454	0.6184	56.8492	3.2633	299.9888	14.9412	152.2730	107.9466	1100.1381	15.5596	209.1222	47.4498	637.7291
CP002027.1	gene	29269	31258	+	MMSYN1_0913	tetM	mRNA	Tn916_ tetracycline resistance protein	1989	2133.0639	6.8105	7067.7789	22.5660	1975.0754	6.9402	6509.3901	22.8732	4306.5918	20.6747	7659.8764	36.7729	6788.5845	22.7196	7659.8764	36.7729	7224.2305	29.7462	52998.1161	40.4857	13027.6493	9.9519	149.2821	0.2368	787.7502	1.2496	744.3962	4.2509	5378.0944	30.7116	893.6782	4.4877	2725.3191	13.6854
CP002027.1	gene	31534	34618	+	MMSYN1_0915	lacZ	mRNA	beta-galactosidase_ chain D	3084	4904.1067	2.3343	16249.4628	7.7346	3967.1226	2.7575	13074.7152	9.0879	5998.3447	2.9990	10668.8958	5.3342	14662.0890	8.4113	10668.8958	5.3342	12665.4924	6.8727	32223.7348	62.0584	7921.0271	15.2548	694.8813	0.0000	3666.8369	0.0000	7582.9608	3.5940	54785.1803	25.9661	8277.8421	3.5940	25243.7177	10.9602
