locus_tag	gene_name	gene_product	chrom	start0	end0	strand	gene_len	Illumina_sense_avg_depth	Illumina_antisense_avg_depth	Illumina_sense_TPM	Illumina_antisense_TPM	ONT_sense_avg_depth	ONT_antisense_avg_depth	ONT_sense_TPM	ONT_antisense_TPM
JCVISYN3A_0001	dnaA	Chromosomal replication initiator protein	CP016816.2	0	1353	+	1353	443.1604	1.7177	242.5224	0.9400	228.6681	0.6888	965.2886	2.9078
JCVISYN3A_0002	dnaN	DNA polymerase III subunit beta	CP016816.2	1510	2638	+	1128	367.6401	0.8121	201.1934	0.4444	163.0044	1.2482	688.0990	5.2692
JCVISYN3A_0003	rnmV	Ribonuclease M5	CP016816.2	2674	3217	+	543	156.2228	1.7827	85.4940	0.9756	77.1215	0.3186	325.5572	1.3449
JCVISYN3A_0004	ksgA	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase	CP016816.2	3206	4007	+	801	116.4906	3.1011	63.7503	1.6971	48.4419	0.3159	204.4905	1.3333
JCVISYN3A_0005		Uncharacterized protein	CP016816.2	4063	5155	+	1092	481.5540	3.0861	263.5336	1.6889	182.8095	1.0375	771.7033	4.3798
JCVISYN3A_0006	gyrB	DNA gyrase subunit B	CP016816.2	5514	7419	+	1905	1232.2315	6.3102	674.3468	3.4533	29.8367	0.2908	125.9514	1.2276
JCVISYN3A_0007	gyrA	DNA gyrase subunit A	CP016816.2	7434	9939	+	2505	1728.3625	7.0435	945.8577	3.8546	75.4802	0.4954	318.6286	2.0913
JCVISYN3A_0008	rnsD%3B uptD	Nucleoside ABC transporter permease	CP016816.2	9990	10968	-	978	855.8814	12.1217	468.3867	6.6337	146.5092	2.1789	618.4668	9.1981
JCVISYN3A_0009	rnsC%3B uptD	Nucleoside ABC transporter permease	CP016816.2	10967	13535	-	2568	215.5070	6.6651	117.9376	3.6475	56.0814	0.4354	236.7392	1.8378
JCVISYN3A_0010	rnsA%3B uptA	Nucleoside ABC transporter ATP-binding protein	CP016816.2	13524	15141	-	1617	595.4638	6.0130	325.8715	3.2906	34.4280	0.3970	145.3325	1.6760
JCVISYN3A_0011	rnsB%3B uptB	Nucleoside ABC transporter substrate-binding protein	CP016816.2	15152	16799	-	1647	420.7784	7.8397	230.2737	4.2903	78.9502	0.4736	333.2766	1.9992
JCVISYN3A_0012	metRS	Methionine--tRNA ligase	CP016816.2	16985	18515	-	1530	210.1065	1.3209	114.9822	0.7229	218.2758	0.3922	921.4190	1.6554
JCVISYN3A_0918		Imidazoleglycerol-phosphate dehydratase	CP016816.2	18715	19378	-	663	655.7994	538.9985	358.8905	294.9705	11.5204	17.6908	48.6315	74.6791
JCVISYN3A_0913	tetM	Tetracycline resistance ribosomal protection protein	CP016816.2	20415	22335	+	1920	9682.0198	751.5974	5298.5489	411.3166	141.3193	87.5328	596.5583	369.5068
JCVISYN3A_0025	rpsR	30S ribosomal protein S18	CP016816.2	22768	22996	-	228	2979.5482	4.0351	1630.5773	2.2082	918.3553	1.6316	3876.7004	6.8875
JCVISYN3A_0026	priB	Single-stranded DNA-binding protein	CP016816.2	23015	23456	-	441	5142.8776	7.7166	2814.4735	4.2229	1310.2018	2.1814	5530.8224	9.2085
JCVISYN3A_0027	rpsF	30S ribosomal protein S6	CP016816.2	23467	23881	-	414	2660.0821	14.4444	1455.7474	7.9048	2472.0507	0.8140	10435.3951	3.4362
JCVISYN3A_0029		Uncharacterized FMN-dependent NADH-azoreductase	CP016816.2	24272	24872	+	600	1078.3850	4.1983	590.1533	2.2976	2032.6817	57.5217	8580.6639	242.8192
JCVISYN3A_0030		Uncharacterized ABC transporter ATP-binding protein	CP016816.2	24908	25943	-	1035	2032.8821	21.0966	1112.5081	11.5453	509.6454	48.3237	2151.3924	203.9912
